match_id,stage,group,date,home_id,away_id,home_name,away_name,actual_home_goals,actual_away_goals,status,outcome_90,outcome_120,advancer_id,model_p_home_90,model_p_draw_90,model_p_away_90,model_p_home_120,model_p_draw_120,model_p_away_120,model_p_home_advance,model_p_away_advance,model_xg_home,model_xg_away,model_modal_home,model_modal_away,model_modal_p,model_pred_outcome,bet365_home_odds,bet365_draw_odds,bet365_away_odds,bet365_p_home,bet365_p_draw,bet365_p_away,pinnacle_home_odds,pinnacle_draw_odds,pinnacle_away_odds,pinnacle_p_home,pinnacle_p_draw,pinnacle_p_away,model_1x2_correct,model_exact_correct,model_advance_correct,model_log_loss,model_brier
G01,group,A,2026-06-11,mexico,south_africa,Mexico,South Africa,2,0,FT,home,home,,0.7925,0.1511,0.0564,,,,,,2.4,0.51,2,0,,home,1.46,4.55,8.4,0.669,0.2147,0.1163,1.45,4.05,8.79,0.6566,0.2351,0.1083,True,True,,0.2326,0.0691
G02,group,A,2026-06-11,south_korea,czech_republic,South Korea,Czech Republic,2,1,FT,home,home,,0.4284,0.2771,0.2945,,,,,,1.42,1.14,1,1,,home,2.69,3.02,3.1,0.3625,0.3229,0.3146,2.61,3.16,3.11,0.3752,0.3099,0.3149,True,False,,0.8478,0.4903
G03,group,B,2026-06-12,canada,bosnia_and_herzegovina,Canada,Bosnia and Herzegovina,1,1,FT,draw,draw,,0.6856,0.2078,0.1066,,,,,,2.0,0.65,2,0,,home,1.83,3.62,5.0,0.5343,0.2701,0.1956,1.862,3.46,4.45,0.5111,0.275,0.2139,False,False,,1.5712,1.109
G04,group,D,2026-06-12,united_states,paraguay,United States,Paraguay,4,1,FT,home,home,,0.5503,0.2588,0.1909,,,,,,1.64,0.86,1,0,,home,2.08,3.26,4.15,0.4675,0.2983,0.2343,2.09,3.17,3.98,0.4578,0.3018,0.2404,True,False,,0.5973,0.3057
G05,group,B,2026-06-13,qatar,switzerland,Qatar,Switzerland,1,1,FT,draw,draw,,0.0414,0.1078,0.8508,,,,,,0.57,2.98,0,2,,away,15.95,7.7,1.2,0.0611,0.1266,0.8123,31.66,7.02,1.151,0.0303,0.1366,0.8331,False,False,,2.2276,1.5216
G06,group,C,2026-06-13,brazil,morocco,Brazil,Morocco,1,1,FT,draw,draw,,0.4684,0.3204,0.2111,,,,,,1.18,0.7,1,0,,home,1.69,3.84,5.75,0.5767,0.2538,0.1695,1.699,3.52,5.6,0.5599,0.2702,0.1699,False,False,,1.1381,0.7258
G07,group,C,2026-06-13,haiti,scotland,Haiti,Scotland,0,1,FT,away,away,,0.1788,0.2234,0.5978,,,,,,1.0,1.99,1,1,,away,6.3,4.5,1.55,0.1547,0.2166,0.6287,5.3,4.2,1.684,0.1849,0.2333,0.5818,True,False,,0.5144,0.2436
G08,group,D,2026-06-13,australia,turkey,Australia,Turkey,2,0,FT,home,home,,0.255,0.2791,0.4658,,,,,,1.0,1.44,1,1,,away,5.6,3.84,1.7,0.1738,0.2535,0.5726,5.25,3.67,1.781,0.1859,0.266,0.5481,False,False,,1.3665,0.8499
G09,group,E,2026-06-14,germany,curacao,Germany,Curacao,7,1,FT,home,home,,0.942,0.0452,0.0127,,,,,,4.04,0.46,4,0,,home,1.05,21.0,36.0,0.9266,0.0463,0.027,1.057,20.0,41.0,0.9271,0.049,0.0239,True,False,,0.0597,0.0056
G10,group,E,2026-06-14,ivory_coast,ecuador,Ivory Coast,Ecuador,1,0,FT,home,home,,0.2259,0.3519,0.4222,,,,,,0.65,1.0,0,0,,away,3.36,2.85,2.67,0.2909,0.343,0.3661,3.33,2.94,2.38,0.2831,0.3207,0.3962,False,False,,1.4878,0.9014
G11,group,F,2026-06-14,netherlands,japan,Netherlands,Japan,2,2,FT,draw,draw,,0.4038,0.297,0.2992,,,,,,1.25,1.04,1,1,,home,2.1,3.46,3.88,0.4655,0.2825,0.252,1.99,3.41,3.83,0.4755,0.2775,0.247,False,False,,1.2142,0.7469
G12,group,F,2026-06-14,sweden,tunisia,Sweden,Tunisia,5,1,FT,home,home,,0.503,0.2747,0.2222,,,,,,1.5,0.91,1,1,,home,1.93,3.44,4.6,0.5049,0.2833,0.2118,1.892,3.26,4.48,0.4993,0.2898,0.2109,True,False,,0.6871,0.3718
G13,group,G,2026-06-15,belgium,egypt,Belgium,Egypt,1,1,FT,draw,draw,,0.6417,0.2399,0.1184,,,,,,1.72,0.6,1,0,,home,1.61,4.15,6.3,0.6085,0.2361,0.1555,1.512,4.16,7.02,0.6334,0.2302,0.1364,False,False,,1.4275,1.0035
G14,group,G,2026-06-15,iran,new_zealand,Iran,New Zealand,2,2,FT,draw,draw,,0.5939,0.2407,0.1654,,,,,,1.79,0.83,1,0,,home,1.79,3.56,5.3,0.5433,0.2732,0.1835,1.917,3.5,4.47,0.5059,0.2771,0.217,False,False,,1.4242,0.9566
G15,group,H,2026-06-15,spain,cape_verde,Spain,Cape Verde,0,0,FT,draw,draw,,0.9573,0.0361,0.0066,,,,,,3.98,0.28,4,0,,home,1.08,15.5,28.0,0.9023,0.0629,0.0348,1.107,11.5,21.0,0.8703,0.0838,0.0459,False,False,,3.3207,1.8455
G16,group,H,2026-06-15,saudi_arabia,uruguay,Saudi Arabia,Uruguay,1,1,FT,draw,draw,,0.0823,0.2293,0.6884,,,,,,0.43,1.72,0,1,,away,8.8,4.35,1.46,0.1105,0.2235,0.666,7.7,3.7,1.473,0.1204,0.2505,0.6292,False,False,,1.4727,1.0746
G17,group,I,2026-06-16,france,senegal,France,Senegal,3,1,FT,home,home,,0.6279,0.245,0.1271,,,,,,1.69,0.62,1,0,,home,1.48,4.6,7.5,0.6583,0.2118,0.1299,1.531,4.11,6.42,0.6207,0.2312,0.148,True,False,,0.4654,0.2147
G18,group,I,2026-06-16,iraq,norway,Iraq,Norway,1,4,FT,away,away,,0.0659,0.1716,0.7626,,,,,,0.5,2.21,0,2,,away,14.5,7.0,1.23,0.0673,0.1394,0.7933,13.5,6.75,1.25,0.0725,0.1449,0.7826,True,False,,0.271,0.0901
G19,group,J,2026-06-16,argentina,algeria,Argentina,Algeria,3,0,FT,home,home,,0.7538,0.183,0.0632,,,,,,2.06,0.44,2,0,,home,1.42,4.5,8.0,0.6698,0.2113,0.1189,1.526,3.89,7.15,0.6228,0.2443,0.1329,True,False,,0.2826,0.0981
G20,group,J,2026-06-16,austria,jordan,Austria,Jordan,3,1,FT,home,home,,0.6792,0.2049,0.1159,,,,,,2.06,0.73,2,0,,home,1.4,4.75,8.0,0.6804,0.2005,0.1191,1.4,4.9,9.3,0.6963,0.1989,0.1048,True,False,,0.3869,0.1583
G21,group,K,2026-06-17,portugal,dr_congo,Portugal,DR Congo,1,1,FT,draw,draw,,0.7876,0.163,0.0495,,,,,,2.19,0.39,2,0,,home,1.27,5.7,15.0,0.7648,0.1704,0.0648,1.303,5.75,12.5,0.7514,0.1703,0.0783,False,False,,1.8143,1.3233
G22,group,K,2026-06-17,uzbekistan,colombia,Uzbekistan,Colombia,1,3,FT,away,away,,0.0724,0.1797,0.7479,,,,,,0.52,2.15,0,2,,away,10.0,4.45,1.42,0.0972,0.2184,0.6844,12.5,5.6,1.312,0.0784,0.1749,0.7467,True,False,,0.2905,0.1011
G23,group,L,2026-06-17,england,croatia,England,Croatia,4,2,FT,home,home,,0.5608,0.2838,0.1554,,,,,,1.43,0.62,1,0,,home,1.7,3.82,5.65,0.5728,0.2549,0.1723,1.671,3.93,5.81,0.5838,0.2482,0.1679,True,False,,0.5784,0.2976
G24,group,L,2026-06-17,ghana,panama,Ghana,Panama,1,0,FT,home,home,,0.3217,0.2946,0.3837,,,,,,1.11,1.23,1,1,,away,2.4,3.22,3.36,0.4066,0.303,0.2904,2.43,3.18,3.39,0.4031,0.308,0.2889,False,False,,1.1343,0.6942
G25,group,A,2026-06-18,czech_republic,south_africa,Czech Republic,South Africa,1,1,FT,draw,draw,,0.5466,0.2651,0.1883,,,,,,1.58,0.82,1,0,,home,1.86,3.64,4.75,0.5256,0.2686,0.2058,1.952,3.43,4.58,0.5012,0.2852,0.2136,False,False,,1.3278,0.8744
G26,group,A,2026-06-18,mexico,south_korea,Mexico,South Korea,1,0,FT,home,home,,0.5698,0.2487,0.1815,,,,,,1.73,0.87,1,0,,home,2.05,3.32,4.25,0.4762,0.2941,0.2297,2.04,3.05,4.25,0.4654,0.3113,0.2234,True,True,,0.5625,0.2799
