date,round,team_id,team_name,p_win
2026-06-11,Pre,spain,Spain,0.1933
2026-06-11,Pre,argentina,Argentina,0.1808
2026-06-11,Pre,france,France,0.1166
2026-06-11,Pre,england,England,0.1056
2026-06-11,Pre,portugal,Portugal,0.0907
2026-06-11,Pre,brazil,Brazil,0.0786
2026-06-11,Pre,germany,Germany,0.044
2026-06-11,Pre,netherlands,Netherlands,0.0339
2026-06-11,Pre,belgium,Belgium,0.0308
2026-06-11,Pre,colombia,Colombia,0.023
2026-06-11,Pre,morocco,Morocco,0.0194
2026-06-11,Pre,japan,Japan,0.0159
2026-06-11,Pre,norway,Norway,0.0102
2026-06-11,Pre,uruguay,Uruguay,0.0092
2026-06-11,Pre,mexico,Mexico,0.0089
2026-06-11,Pre,switzerland,Switzerland,0.008
2026-06-11,Pre,croatia,Croatia,0.0058
2026-06-11,Pre,ecuador,Ecuador,0.0053
2026-06-11,Pre,united_states,United States,0.0053
2026-06-11,Pre,senegal,Senegal,0.0031
2026-06-11,Pre,canada,Canada,0.0029
2026-06-11,Pre,austria,Austria,0.0027
2026-06-11,Pre,turkey,Turkey,0.0027
2026-06-11,Pre,australia,Australia,0.0006
2026-06-11,Pre,ivory_coast,Ivory Coast,0.0006
2026-06-11,Pre,iran,Iran,0.0006
2026-06-11,Pre,algeria,Algeria,0.0005
2026-06-11,Pre,egypt,Egypt,0.0004
2026-06-11,Pre,paraguay,Paraguay,0.0002
2026-06-11,Pre,south_korea,South Korea,0.0001
2026-06-11,Pre,czech_republic,Czech Republic,0.0001
2026-06-11,Pre,scotland,Scotland,0.0001
2026-06-11,Pre,sweden,Sweden,0.0001
2026-06-11,Pre,dr_congo,DR Congo,0.0001
2026-06-11,Pre,south_africa,South Africa,0.0
2026-06-11,Pre,bosnia_and_herzegovina,Bosnia and Herzegovina,0.0
2026-06-11,Pre,qatar,Qatar,0.0
2026-06-11,Pre,haiti,Haiti,0.0
2026-06-11,Pre,curacao,Curacao,0.0
2026-06-11,Pre,tunisia,Tunisia,0.0
2026-06-11,Pre,new_zealand,New Zealand,0.0
2026-06-11,Pre,cape_verde,Cape Verde,0.0
2026-06-11,Pre,saudi_arabia,Saudi Arabia,0.0
2026-06-11,Pre,iraq,Iraq,0.0
2026-06-11,Pre,jordan,Jordan,0.0
2026-06-11,Pre,uzbekistan,Uzbekistan,0.0
2026-06-11,Pre,ghana,Ghana,0.0
2026-06-11,Pre,panama,Panama,0.0
2026-06-19,MD1,argentina,Argentina,0.2183
2026-06-19,MD1,spain,Spain,0.1649
2026-06-19,MD1,france,France,0.1251
2026-06-19,MD1,england,England,0.12
2026-06-19,MD1,brazil,Brazil,0.0671
2026-06-19,MD1,portugal,Portugal,0.0614
2026-06-19,MD1,germany,Germany,0.0539
2026-06-19,MD1,netherlands,Netherlands,0.03
2026-06-19,MD1,colombia,Colombia,0.0289
2026-06-19,MD1,belgium,Belgium,0.025
2026-06-19,MD1,morocco,Morocco,0.0213
2026-06-19,MD1,japan,Japan,0.0173
2026-06-19,MD1,norway,Norway,0.0113
2026-06-19,MD1,mexico,Mexico,0.0109
2026-06-19,MD1,united_states,United States,0.0087
2026-06-19,MD1,switzerland,Switzerland,0.0081
2026-06-19,MD1,canada,Canada,0.0049
2026-06-19,MD1,uruguay,Uruguay,0.0043
2026-06-19,MD1,croatia,Croatia,0.0042
2026-06-19,MD1,senegal,Senegal,0.0031
2026-06-19,MD1,austria,Austria,0.0031
2026-06-19,MD1,ecuador,Ecuador,0.0027
2026-06-19,MD1,australia,Australia,0.0019
2026-06-19,MD1,ivory_coast,Ivory Coast,0.0008
2026-06-19,MD1,turkey,Turkey,0.0006
2026-06-19,MD1,sweden,Sweden,0.0006
2026-06-19,MD1,south_korea,South Korea,0.0006
2026-06-19,MD1,egypt,Egypt,0.0005
2026-06-19,MD1,algeria,Algeria,0.0003
2026-06-19,MD1,iran,Iran,0.0002
2026-06-19,MD1,paraguay,Paraguay,0.0001
2026-06-19,MD1,scotland,Scotland,0.0001
2026-06-19,MD1,dr_congo,DR Congo,0.0001
2026-06-19,MD1,south_africa,South Africa,0.0
2026-06-19,MD1,czech_republic,Czech Republic,0.0
2026-06-19,MD1,bosnia_and_herzegovina,Bosnia and Herzegovina,0.0
2026-06-19,MD1,qatar,Qatar,0.0
2026-06-19,MD1,haiti,Haiti,0.0
2026-06-19,MD1,curacao,Curacao,0.0
2026-06-19,MD1,tunisia,Tunisia,0.0
2026-06-19,MD1,new_zealand,New Zealand,0.0
2026-06-19,MD1,cape_verde,Cape Verde,0.0
2026-06-19,MD1,saudi_arabia,Saudi Arabia,0.0
2026-06-19,MD1,iraq,Iraq,0.0
2026-06-19,MD1,jordan,Jordan,0.0
2026-06-19,MD1,uzbekistan,Uzbekistan,0.0
2026-06-19,MD1,ghana,Ghana,0.0
2026-06-19,MD1,panama,Panama,0.0
2026-06-24,MD2,argentina,Argentina,0.26
2026-06-24,MD2,spain,Spain,0.1785
2026-06-24,MD2,france,France,0.117
2026-06-24,MD2,england,England,0.0999
2026-06-24,MD2,portugal,Portugal,0.0705
2026-06-24,MD2,brazil,Brazil,0.0587
2026-06-24,MD2,germany,Germany,0.0478
2026-06-24,MD2,netherlands,Netherlands,0.0324
2026-06-24,MD2,colombia,Colombia,0.0263
2026-06-24,MD2,japan,Japan,0.0191
2026-06-24,MD2,morocco,Morocco,0.017
2026-06-24,MD2,belgium,Belgium,0.0158
2026-06-24,MD2,united_states,United States,0.0135
2026-06-24,MD2,mexico,Mexico,0.0129
2026-06-24,MD2,norway,Norway,0.0118
2026-06-24,MD2,canada,Canada,0.0048
2026-06-24,MD2,switzerland,Switzerland,0.0047
2026-06-24,MD2,croatia,Croatia,0.0029
2026-06-24,MD2,austria,Austria,0.0014
2026-06-24,MD2,senegal,Senegal,0.001
2026-06-24,MD2,uruguay,Uruguay,0.0008
2026-06-24,MD2,australia,Australia,0.0006
2026-06-24,MD2,south_korea,South Korea,0.0005
2026-06-24,MD2,paraguay,Paraguay,0.0004
2026-06-24,MD2,egypt,Egypt,0.0004
2026-06-24,MD2,ivory_coast,Ivory Coast,0.0003
2026-06-24,MD2,ecuador,Ecuador,0.0003
2026-06-24,MD2,algeria,Algeria,0.0003
2026-06-24,MD2,scotland,Scotland,0.0003
2026-06-24,MD2,iran,Iran,0.0002
2026-06-24,MD2,sweden,Sweden,0.0001
2026-06-24,MD2,south_africa,South Africa,0.0
2026-06-24,MD2,czech_republic,Czech Republic,0.0
2026-06-24,MD2,bosnia_and_herzegovina,Bosnia and Herzegovina,0.0
2026-06-24,MD2,qatar,Qatar,0.0
2026-06-24,MD2,haiti,Haiti,0.0
2026-06-24,MD2,turkey,Turkey,0.0
2026-06-24,MD2,curacao,Curacao,0.0
2026-06-24,MD2,tunisia,Tunisia,0.0
2026-06-24,MD2,new_zealand,New Zealand,0.0
