stage,date,home,away,modal_score
Group A,2026-06-11,Mexico,South Africa,2-0
Group A,2026-06-11,South Korea,Czech Republic,1-1
Group B,2026-06-12,Canada,Bosnia and Herzegovina,2-0
Group D,2026-06-12,United States,Paraguay,1-0
Group B,2026-06-13,Qatar,Switzerland,0-2
Group C,2026-06-13,Brazil,Morocco,1-0
Group C,2026-06-13,Haiti,Scotland,1-1
Group D,2026-06-13,Australia,Turkey,1-1
Group E,2026-06-14,Germany,Curacao,4-0
Group E,2026-06-14,Ivory Coast,Ecuador,0-0
Group F,2026-06-14,Netherlands,Japan,1-1
Group F,2026-06-14,Sweden,Tunisia,1-1
Group G,2026-06-15,Belgium,Egypt,1-0
Group G,2026-06-15,Iran,New Zealand,1-0
Group H,2026-06-15,Spain,Cape Verde,4-0
Group H,2026-06-15,Saudi Arabia,Uruguay,0-1
Group I,2026-06-16,France,Senegal,1-0
Group I,2026-06-16,Iraq,Norway,0-2
Group J,2026-06-16,Argentina,Algeria,2-0
Group J,2026-06-16,Austria,Jordan,2-0
Group K,2026-06-17,Portugal,DR Congo,2-0
Group K,2026-06-17,Uzbekistan,Colombia,0-2
Group L,2026-06-17,England,Croatia,1-0
Group L,2026-06-17,Ghana,Panama,1-1
Group A,2026-06-18,Czech Republic,South Africa,1-0
Group A,2026-06-18,Mexico,South Korea,1-0
Group B,2026-06-18,Switzerland,Bosnia and Herzegovina,2-0
Group B,2026-06-18,Canada,Qatar,2-0
Group C,2026-06-19,Scotland,Morocco,0-1
Group C,2026-06-19,Brazil,Haiti,3-0
Group D,2026-06-19,United States,Australia,1-1
Group D,2026-06-19,Turkey,Paraguay,1-1
Group E,2026-06-20,Germany,Ivory Coast,1-0
Group E,2026-06-20,Ecuador,Curacao,2-0
Group F,2026-06-20,Netherlands,Sweden,2-0
Group F,2026-06-20,Tunisia,Japan,0-2
Group G,2026-06-21,Belgium,Iran,2-0
Group G,2026-06-21,New Zealand,Egypt,0-1
Group H,2026-06-21,Spain,Saudi Arabia,3-0
Group H,2026-06-21,Uruguay,Cape Verde,1-0
Group I,2026-06-22,France,Iraq,3-0
Group I,2026-06-22,Norway,Senegal,1-1
Group J,2026-06-22,Argentina,Austria,1-0
Group J,2026-06-22,Jordan,Algeria,1-1
Group K,2026-06-23,Portugal,Uzbekistan,2-0
Group K,2026-06-23,Colombia,DR Congo,1-0
Group L,2026-06-23,England,Ghana,2-0
Group L,2026-06-23,Panama,Croatia,0-2
Group A,2026-06-24,Czech Republic,Mexico,0-2
Group A,2026-06-24,South Africa,South Korea,0-1
Group B,2026-06-24,Switzerland,Canada,1-1
Group B,2026-06-24,Bosnia and Herzegovina,Qatar,1-1
Group C,2026-06-24,Scotland,Brazil,0-2
Group C,2026-06-24,Morocco,Haiti,1-0
Group D,2026-06-25,Turkey,United States,1-1
Group D,2026-06-25,Paraguay,Australia,0-0
Group E,2026-06-25,Ecuador,Germany,0-1
Group E,2026-06-25,Curacao,Ivory Coast,0-2
Group F,2026-06-25,Japan,Sweden,2-0
Group F,2026-06-25,Tunisia,Netherlands,0-2
Group G,2026-06-26,Egypt,Iran,1-1
Group G,2026-06-26,New Zealand,Belgium,0-2
Group H,2026-06-26,Cape Verde,Saudi Arabia,0-0
Group H,2026-06-26,Uruguay,Spain,0-1
Group I,2026-06-26,Norway,France,0-1
Group I,2026-06-26,Senegal,Iraq,1-0
Group J,2026-06-27,Algeria,Austria,1-1
Group J,2026-06-27,Jordan,Argentina,0-3
Group K,2026-06-27,Colombia,Portugal,1-1
Group K,2026-06-27,DR Congo,Uzbekistan,0-0
Group L,2026-06-27,Panama,England,0-2
Group L,2026-06-27,Croatia,Ghana,1-0
Round of 32,2026-06-28,South Africa,Canada,0-2
Round of 32,2026-06-29,Germany,Paraguay,2-0
Round of 32,2026-06-29,Netherlands,Morocco,1-0
Round of 32,2026-06-29,Brazil,Japan,1-1
Round of 32,2026-06-30,France,Sweden,2-0
Round of 32,2026-06-30,Ivory Coast,Norway,1-1
Round of 32,2026-06-30,Mexico,Ecuador,0-0
Round of 32,2026-07-01,England,DR Congo,2-0
Round of 32,2026-07-01,United States,Bosnia and Herzegovina,2-0
Round of 32,2026-07-01,Belgium,Senegal,1-1
Round of 32,2026-07-02,Portugal,Croatia,1-0
Round of 32,2026-07-02,Spain,Austria,2-0
Round of 32,2026-07-02,Switzerland,Algeria,1-1
Round of 32,2026-07-03,Argentina,Cape Verde,3-0
Round of 32,2026-07-03,Colombia,Ghana,2-0
Round of 32,2026-07-03,Australia,Egypt,0-0
