game,date,group,home,away,p_home,p_draw,p_away,predicted_result,exp_goals,rounded_score,top3_scores
1,2026-06-11,A,Mexico,South Africa,79,15,6,Mexico win,2.39-0.51,2-1,"2-0 16%, 1-0 13%, 3-0 12%"
2,2026-06-11,A,South Korea,Czech Republic,42,28,30,South Korea win,1.40-1.14,1-1,"1-1 13%, 1-0 10%, 2-1 9%"
3,2026-06-12,B,Canada,Bosnia and Herzegovina,68,21,11,Canada win,1.98-0.66,2-1,"2-0 14%, 1-0 14%, 1-1 10%"
4,2026-06-12,D,United States,Paraguay,53,26,21,United States win,1.59-0.90,2-1,"1-0 13%, 1-1 13%, 2-0 10%"
5,2026-06-13,B,Qatar,Switzerland,4,11,86,Switzerland win,0.56-3.01,1-3,"0-3 13%, 0-2 13%, 0-4 10%"
6,2026-06-13,C,Brazil,Morocco,45,32,22,Brazil win,1.15-0.72,1-1,"1-0 17%, 0-0 16%, 1-1 13%"
7,2026-06-13,C,Haiti,Scotland,18,22,60,Scotland win,1.00-2.01,1-2,"1-1 10%, 1-2 10%, 0-2 10%"
8,2026-06-13,D,Australia,Turkey,24,28,48,Turkey win,0.97-1.48,1-1,"1-1 13%, 0-1 12%, 0-2 9%"
9,2026-06-14,E,Germany,Curacao,94,4,1,Germany win,4.09-0.46,4-0,"4-0 12%, 3-0 12%, 5-0 10%"
10,2026-06-14,E,Ivory Coast,Ecuador,22,35,43,Ecuador win,0.65-1.02,1-1,"0-0 20%, 0-1 19%, 1-1 13%"
11,2026-06-14,F,Netherlands,Japan,40,30,30,Netherlands win,1.24-1.03,1-1,"1-1 14%, 1-0 12%, 0-0 11%"
12,2026-06-14,F,Sweden,Tunisia,51,27,21,Sweden win,1.53-0.90,2-1,"1-0 13%, 1-1 13%, 2-0 10%"
13,2026-06-15,G,Belgium,Egypt,66,23,11,Belgium win,1.79-0.59,2-1,"1-0 16%, 2-0 15%, 1-1 10%"
14,2026-06-15,G,Iran,New Zealand,60,24,16,Iran win,1.80-0.83,2-1,"1-0 12%, 2-0 12%, 1-1 11%"
15,2026-06-15,H,Spain,Cape Verde,96,4,1,Spain win,4.00-0.28,4-0,"4-0 15%, 3-0 15%, 5-0 12%"
16,2026-06-15,H,Saudi Arabia,Uruguay,8,23,69,Uruguay win,0.44-1.75,0-2,"0-1 19%, 0-2 17%, 0-0 12%"
17,2026-06-16,I,France,Senegal,62,25,13,France win,1.67-0.64,2-1,"1-0 16%, 2-0 14%, 1-1 11%"
18,2026-06-16,I,Iraq,Norway,7,17,76,Norway win,0.51-2.20,1-2,"0-2 16%, 0-1 14%, 0-3 12%"
19,2026-06-16,J,Argentina,Algeria,73,20,7,Argentina win,1.95-0.46,2-0,"2-0 17%, 1-0 17%, 3-0 11%"
20,2026-06-16,J,Austria,Jordan,67,21,12,Austria win,2.05-0.74,2-1,"2-0 13%, 1-0 12%, 1-1 10%"
21,2026-06-17,K,Portugal,DR Congo,78,17,5,Portugal win,2.14-0.40,2-0,"2-0 18%, 1-0 16%, 3-0 13%"
22,2026-06-17,K,Uzbekistan,Colombia,7,18,75,Colombia win,0.52-2.18,1-2,"0-2 16%, 0-1 14%, 0-3 12%"
23,2026-06-17,L,England,Croatia,56,28,16,England win,1.43-0.63,1-1,"1-0 18%, 0-0 13%, 2-0 13%"
24,2026-06-17,L,Ghana,Panama,32,29,38,Panama win,1.11-1.23,1-1,"1-1 14%, 0-1 11%, 0-0 10%"
